State,Year,Crude oil production (thousands of barrels)
Louisiana,2016,57075
Kentucky,2016,2595
Kansas,2016,37944
Indiana,2016,1817
Illinois,2016,8639
Idaho,2016,215
Florida,2016,1934
Colorado,2016,119095
California,2016,186079
Arkansas,2016,5519
Arizona,2016,8
Alaska,2016,179378
Alabama,2016,8107
Wyoming,2015,86470
West Virginia,2015,11572
Virginia,2015,11
Utah,2015,37136
Texas,2015,1260755
Tennessee,2015,296
South Dakota,2015,1663
Pennsylvania,2015,7088
Oklahoma,2015,166468
Ohio,2015,26701
North Dakota,2015,429636
New York,2015,286
New Mexico,2015,148095
Nevada,2015,281
Nebraska,2015,2910
Montana,2015,28556
Missouri,2015,149
Mississippi,2015,24923
Michigan,2015,6560
Louisiana,2015,64827
Kentucky,2015,2862
Kansas,2015,45481
Indiana,2015,2219
Illinois,2015,9520
Idaho,2015,30
Florida,2015,2208
Colorado,2015,123417
California,2015,201284
Arkansas,2015,6229
Arizona,2015,37
Alaska,2015,176229
Alabama,2015,9694
Wyoming,2014,76119
West Virginia,2014,10330
Virginia,2014,14
Utah,2014,40909
Texas,2014,1159332
Tennessee,2014,330
South Dakota,2014,1798
Pennsylvania,2014,6849
Oklahoma,2014,149602
Ohio,2014,15078
North Dakota,2014,394628
New York,2014,356
New Mexico,2014,125061
Nevada,2014,316
Nebraska,2014,3050
Montana,2014,29896
Missouri,2014,196
Mississippi,2014,24395
Michigan,2014,7419
Louisiana,2014,69456
Kentucky,2014,2626
Kansas,2014,49518
Indiana,2014,2507
Illinois,2014,9546
Idaho,2014,0
Florida,2014,2227
Colorado,2014,95639
California,2014,204699
Arkansas,2014,6775
Arizona,2014,56
Alaska,2014,181130
Alabama,2014,9825
Wyoming,2013,63482
West Virginia,2013,7239
Virginia,2013,10
Utah,2013,35016
Texas,2013,927914
Tennessee,2013,334
South Dakota,2013,1850
Pennsylvania,2013,5303
Oklahoma,2013,123812
Ohio,2013,8009
North Dakota,2013,312360
New York,2013,366
New Mexico,2013,102789
Nevada,2013,334
Nebraska,2013,2808
Montana,2013,29288
Missouri,2013,199
Mississippi,2013,24057
Michigan,2013,7781
Louisiana,2013,72286
Kentucky,2013,2305
Kansas,2013,46846
Indiana,2013,2399
Illinois,2013,9539
Idaho,2013,0
Florida,2013,2174
Colorado,2013,66303
California,2013,198928
Arkansas,2013,6640
Arizona,2013,60
Alaska,2013,187923
Alabama,2013,10408
Wyoming,2012,57808
West Virginia,2012,2573
Virginia,2012,9
Utah,2012,30210
Texas,2012,725259
Tennessee,2012,371
South Dakota,2012,1754
Pennsylvania,2012,4319
Oklahoma,2012,100700
Ohio,2012,5111
North Dakota,2012,242364
New York,2012,362
New Mexico,2012,85551
Nevada,2012,368
Nebraska,2012,3025
Montana,2012,26494
Missouri,2012,175
Mississippi,2012,24137
Michigan,2012,7450
Louisiana,2012,70994
Kentucky,2012,3198
Kansas,2012,43751
Indiana,2012,2350
Illinois,2012,9733
Idaho,2012,0
Florida,2012,2135
Colorado,2012,49657
California,2012,197211
Arkansas,2012,6536
Arizona,2012,52
Alaska,2012,192401
Alabama,2012,9525
Wyoming,2011,54515
West Virginia,2011,2146
Virginia,2011,11
Utah,2011,26305
Texas,2011,529743
Tennessee,2011,296
South Dakota,2011,1634
Pennsylvania,2011,3431
Oklahoma,2011,81599
Ohio,2011,4657
North Dakota,2011,152433
New York,2011,375
New Mexico,2011,71518
Nevada,2011,408
Nebraska,2011,2544
Montana,2011,24155
Missouri,2011,118
Mississippi,2011,24043
Michigan,2011,7038
Louisiana,2011,69279
Kentucky,2011,2326
Kansas,2011,41500
Indiana,2011,1987
Illinois,2011,9158
Idaho,2011,0
Florida,2011,2023
Colorado,2011,39497
California,2011,196172
Arkansas,2011,5877
Arizona,2011,37
Alaska,2011,204829
Alabama,2011,8373
Wyoming,2010,53890
West Virginia,2010,1842
Virginia,2010,12
Utah,2010,24663
Texas,2010,426767
Tennessee,2010,257
South Dakota,2010,1607
Pennsylvania,2010,3238
Oklahoma,2010,70196
Ohio,2010,4772
North Dakota,2010,112555
New York,2010,381
New Mexico,2010,65569
Nevada,2010,426
Nebraska,2010,2331
Montana,2010,25332
Missouri,2010,146
Mississippi,2010,23981
Michigan,2010,6980
Louisiana,2010,67590
Kentucky,2010,2519
Kansas,2010,40470
Indiana,2010,1835
Illinois,2010,9067
Idaho,2010,0
Florida,2010,1777
Colorado,2010,33068
California,2010,200370
Arkansas,2010,5733
Arizona,2010,37
Alaska,2010,218904
Alabama,2010,7155
Wyoming,2009,51531
West Virginia,2009,1501
Virginia,2009,12
Utah,2009,22942
Texas,2009,399327
Tennessee,2009,268
South Dakota,2009,1664
Pennsylvania,2009,2967
Oklahoma,2009,67174
Ohio,2009,4890
North Dakota,2009,79792
New York,2009,333
New Mexico,2009,61178
Nevada,2009,438
Nebraska,2009,2239
Montana,2009,27835
Missouri,2009,106
Mississippi,2009,23328
Michigan,2009,6258
Louisiana,2009,68967
Kentucky,2009,2609
Kansas,2009,39466
Indiana,2009,1803
Illinois,2009,9099
Idaho,2009,0
Florida,2009,696
Colorado,2009,30394
California,2009,207262
Arkansas,2009,5755
Arizona,2009,46
Alaska,2009,235510
Alabama,2009,7189
Wyoming,2008,53045
West Virginia,2008,2126
Virginia,2008,16
Utah,2008,22039
Texas,2008,405938
Tennessee,2008,338
South Dakota,2008,1700
Pennsylvania,2008,2999
Oklahoma,2008,67299
Ohio,2008,5088
North Dakota,2008,62322
New York,2008,387
New Mexico,2008,60155
Nevada,2008,436
Nebraska,2008,2394
Montana,2008,31596
Missouri,2008,99
Mississippi,2008,22104
Michigan,2008,6370
Louisiana,2008,72346
Kentucky,2008,2645
Kansas,2008,39663
Indiana,2008,1859
Illinois,2008,9430
Idaho,2008,0
Florida,2008,1953
Colorado,2008,29946
California,2008,214533
Arkansas,2008,6079
Arizona,2008,54
Alaska,2008,249893
Alabama,2008,7696
Wyoming,2007,54116
West Virginia,2007,1992
Virginia,2007,19
Utah,2007,19535
Texas,2007,391261
Tennessee,2007,284
South Dakota,2007,1664
Pennsylvania,2007,2788
Oklahoma,2007,62901
Ohio,2007,5155
North Dakota,2007,44788
New York,2007,379
New Mexico,2007,59179
Nevada,2007,408
Nebraska,2007,2335
Montana,2007,34907
Missouri,2007,80
Mississippi,2007,20672
Michigan,2007,5726
Louisiana,2007,76978
Kentucky,2007,2666
Kansas,2007,36590
Indiana,2007,1727
Illinois,2007,9609
Idaho,2007,0
Florida,2007,2078
Colorado,2007,26183
California,2007,218518
Arkansas,2007,6031
Arizona,2007,43
Alaska,2007,263595
Alabama,2007,7171
Wyoming,2006,52974
West Virginia,2006,1726
Virginia,2006,17
Utah,2006,17927
Texas,2006,392481
Tennessee,2006,192
South Dakota,2006,1390
Pennsylvania,2006,2589
Oklahoma,2006,64236
Ohio,2006,5439
North Dakota,2006,39591
New York,2006,312
New Mexico,2006,59452
Nevada,2006,426
Nebraska,2006,2313
Montana,2006,36294
Missouri,2006,87
Mississippi,2006,17356
Michigan,2006,5849
Louisiana,2006,73619
Kentucky,2006,2340
Kansas,2006,35668
Indiana,2006,1773
Illinois,2006,10324
Idaho,2006,
Florida,2006,2360
Colorado,2006,24501
California,2006,223015
Arkansas,2006,5948
Arizona,2006,55
Alaska,2006,270481
Alabama,2006,7539
Wyoming,2005,51770
West Virginia,2005,1696
Virginia,2005,26
Utah,2005,16673
Texas,2005,392601
Tennessee,2005,324
South Dakota,2005,1394
Pennsylvania,2005,2460
Oklahoma,2005,61262
Ohio,2005,5658
North Dakota,2005,35675
New York,2005,202
New Mexico,2005,60963
Nevada,2005,447
Nebraska,2005,2408
Montana,2005,32787
Missouri,2005,86
Mississippi,2005,17695
Michigan,2005,5734
Louisiana,2005,75199
Kentucky,2005,2535
Kansas,2005,33620
Indiana,2005,1727
Illinois,2005,10207
Idaho,2005,
Florida,2005,2585
Colorado,2005,23227
California,2005,230230
Arkansas,2005,6175
Arizona,2005,50
Alaska,2005,315387
Alabama,2005,7861
Wyoming,2004,51940
West Virginia,2004,1735
Virginia,2004,19
Utah,2004,14744
Texas,2004,392714
Tennessee,2004,361
South Dakota,2004,1357
Pennsylvania,2004,2396
Oklahoma,2004,63977
Ohio,2004,5783
North Dakota,2004,31152
New York,2004,170
New Mexico,2004,64517
Nevada,2004,463
Nebraska,2004,2506
Montana,2004,24718
Missouri,2004,88
Mississippi,2004,19242
Michigan,2004,5951
Louisiana,2004,83272
Kentucky,2004,2548
Kansas,2004,33879
Indiana,2004,1755
Illinois,2004,10984
Idaho,2004,
Florida,2004,2904
Colorado,2004,22532
California,2004,240138
Arkansas,2004,6747
Arizona,2004,54
Alaska,2004,332441
Alabama,2004,7443
Wyoming,2003,52970
West Virginia,2003,1481
Virginia,2003,18
Utah,2003,13097
Texas,2003,400664
Tennessee,2003,311
South Dakota,2003,1237
Pennsylvania,2003,2466
Oklahoma,2003,64916
Ohio,2003,5658
North Dakota,2003,29411
New York,2003,143
New Mexico,2003,66589
Nevada,2003,493
Nebraska,2003,2753
Montana,2003,19420
Missouri,2003,87
Mississippi,2003,19301
Michigan,2003,6468
Louisiana,2003,90018
Kentucky,2003,2538
Kansas,2003,33973
Indiana,2003,1865
Illinois,2003,11697
Idaho,2003,
Florida,2003,3263
Colorado,2003,21508
California,2003,248093
Arkansas,2003,7209
Arizona,2003,47
Alaska,2003,355603
Alabama,2003,7894
Wyoming,2002,54801
West Virginia,2002,1456
Virginia,2002,25
Utah,2002,13771
Texas,2002,405776
Tennessee,2002,275
South Dakota,2002,1214
Pennsylvania,2002,2324
Oklahoma,2002,66421
Ohio,2002,5631
North Dakota,2002,30803
New York,2002,164
New Mexico,2002,67562
Nevada,2002,553
Nebraska,2002,2782
Montana,2002,16990
Missouri,2002,95
Mississippi,2002,19371
Michigan,2002,7218
Louisiana,2002,93321
Kentucky,2002,2721
Kansas,2002,33380
Indiana,2002,1962
Illinois,2002,11100
Idaho,2002,
Florida,2002,3634
Colorado,2002,20522
California,2002,257898
Arkansas,2002,7252
Arizona,2002,63
Alaska,2002,359382
Alabama,2002,8636
Wyoming,2001,57433
West Virginia,2001,1226
Virginia,2001,11
Utah,2001,15252
Texas,2001,424297
Tennessee,2001,351
South Dakota,2001,1255
Pennsylvania,2001,1620
Oklahoma,2001,68531
Ohio,2001,6051
North Dakota,2001,31691
New York,2001,166
New Mexico,2001,68001
Nevada,2001,572
Nebraska,2001,2922
Montana,2001,15920
Missouri,2001,91
Mississippi,2001,19528
Michigan,2001,7375
Louisiana,2001,104610
Kentucky,2001,2969
Kansas,2001,33942
Indiana,2001,2022
Illinois,2001,10092
Idaho,2001,
Florida,2001,4426
Colorado,2001,16520
California,2001,260663
Arkansas,2001,7592
Arizona,2001,59
Alaska,2001,351411
Alabama,2001,9334
Wyoming,2000,60726
West Virginia,2000,1400
Virginia,2000,9
Utah,2000,15636
Texas,2000,443397
Tennessee,2000,346
South Dakota,2000,1170
Pennsylvania,2000,1500
Oklahoma,2000,69976
Ohio,2000,6575
North Dakota,2000,32719
New York,2000,210
New Mexico,2000,67198
Nevada,2000,621
Nebraska,2000,2957
Montana,2000,15428
Missouri,2000,94
Mississippi,2000,19844
Michigan,2000,7907
Louisiana,2000,105425
Kentucky,2000,3465
Kansas,2000,34463
Indiana,2000,2098
Illinois,2000,12206
Idaho,2000,
Florida,2000,4626
Colorado,2000,18481
California,2000,271132
Arkansas,2000,7154
Arizona,2000,59
Alaska,2000,355199
Alabama,2000,10457
Wyoming,1999,61126
West Virginia,1999,1471
Virginia,1999,8
Utah,1999,16253
Texas,1999,449233
Tennessee,1999,344
South Dakota,1999,1100
Pennsylvania,1999,1471
Oklahoma,1999,70556
Ohio,1999,5970
North Dakota,1999,32882
New York,1999,206
New Mexico,1999,64376
Nevada,1999,706
Nebraska,1999,2663
Montana,1999,14937
Missouri,1999,92
Mississippi,1999,17951
Michigan,1999,7836
Louisiana,1999,120008
Kentucky,1999,2777
Kansas,1999,29046
Indiana,1999,1964
Illinois,1999,12065
Idaho,1999,
Florida,1999,4895
Colorado,1999,18469
California,1999,273017
Arkansas,1999,7150
Arizona,1999,66
Alaska,1999,383199
Alabama,1999,11123
Wyoming,1998,64782
West Virginia,1998,1471
Virginia,1998,5
Utah,1998,19199
Texas,1998,504662
Tennessee,1998,287
South Dakota,1998,1206
Pennsylvania,1998,1980
Oklahoma,1998,77578
Ohio,1998,6541
North Dakota,1998,35562
New York,1998,217
New Mexico,1998,72328
Nevada,1998,799
Nebraska,1998,3174
Montana,1998,16483
Missouri,1998,93
Mississippi,1998,22031
Michigan,1998,8994
Louisiana,1998,134220
Kentucky,1998,2921
Kansas,1998,35541
Indiana,1998,2208
Illinois,1998,13732
Idaho,1998,
Florida,1998,5971
Colorado,1998,22364
California,1998,283627
Arkansas,1998,7998
Arizona,1998,78
Alaska,1998,428850
Alabama,1998,12398
Wyoming,1997,70176
West Virginia,1997,1509
Virginia,1997,10
Utah,1997,19317
Texas,1997,536584
Tennessee,1997,367
South Dakota,1997,1335
Pennsylvania,1997,1321
Oklahoma,1997,83364
Ohio,1997,8593
North Dakota,1997,35832
New York,1997,276
New Mexico,1997,69834
Nevada,1997,980
Nebraska,1997,3337
Montana,1997,15526
Missouri,1997,114
Mississippi,1997,21037
Michigan,1997,10053
Louisiana,1997,134134
Kentucky,1997,2988
Kansas,1997,39835
Indiana,1997,2430
Illinois,1997,16115
Idaho,1997,
Florida,1997,6381
Colorado,1997,25617
California,1997,285172
Arkansas,1997,8429
Arizona,1997,82
Alaska,1997,472949
Alabama,1997,14832
Wyoming,1996,73365
West Virginia,1996,1680
Virginia,1996,13
Utah,1996,19401
Texas,1996,543342
Tennessee,1996,381
South Dakota,1996,1257
Pennsylvania,1996,1692
Oklahoma,1996,85379
Ohio,1996,8305
North Dakota,1996,32317
New York,1996,309
New Mexico,1996,64479
Nevada,1996,1058
Nebraska,1996,3541
Montana,1996,15919
Missouri,1996,115
Mississippi,1996,19509
Michigan,1996,10837
Louisiana,1996,132151
Kentucky,1996,3602
Kansas,1996,41789
Indiana,1996,2523
Illinois,1996,15575
Idaho,1996,
Florida,1996,6292
Colorado,1996,24953
California,1996,282409
Arkansas,1996,8814
Arizona,1996,84
Alaska,1996,509999
Alabama,1996,16868
Wyoming,1995,78884
West Virginia,1995,1948
Virginia,1995,11
Utah,1995,19988
Texas,1995,559646
Tennessee,1995,383
South Dakota,1995,1344
Pennsylvania,1995,1939
Oklahoma,1995,87490
Ohio,1995,8258
North Dakota,1995,29335
New York,1995,304
New Mexico,1995,64508
Nevada,1995,1342
Nebraska,1995,3793
Montana,1995,16530
Missouri,1995,120
Mississippi,1995,19910
Michigan,1995,11383
Louisiana,1995,122885
Kentucky,1995,3492
Kansas,1995,43767
Indiana,1995,2778
Illinois,1995,16190
Idaho,1995,
Florida,1995,5693
Colorado,1995,27977
California,1995,278977
Arkansas,1995,8910
Arizona,1995,71
Alaska,1995,541654
Alabama,1995,18731
Wyoming,1994,79528
West Virginia,1994,1918
Virginia,1994,11
Utah,1994,20661
Texas,1994,590735
Tennessee,1994,417
South Dakota,1994,1453
Pennsylvania,1994,2518
Oklahoma,1994,90973
Ohio,1994,8758
North Dakota,1994,27575
New York,1994,299
New Mexico,1994,65846
Nevada,1994,1698
Nebraska,1994,4216
Montana,1994,16528
Missouri,1994,123
Mississippi,1994,20124
Michigan,1994,12207
Louisiana,1994,126484
Kentucky,1994,4013
Kansas,1994,46732
Indiana,1994,2492
Illinois,1994,17148
Idaho,1994,
Florida,1994,6093
Colorado,1994,28613
California,1994,286060
Arkansas,1994,9568
Arizona,1994,65
Alaska,1994,568951
Alabama,1994,18345
Wyoming,1993,87667
West Virginia,1993,2048
Virginia,1993,12
Utah,1993,21821
Texas,1993,619090
Tennessee,1993,419
South Dakota,1993,1500
Pennsylvania,1993,2036
Oklahoma,1993,96625
Ohio,1993,8282
North Dakota,1993,30915
New York,1993,335
New Mexico,1993,68422
Nevada,1993,1880
Nebraska,1993,4868
Montana,1993,17448
Missouri,1993,135
Mississippi,1993,22613
Michigan,1993,13799
Louisiana,1993,138673
Kentucky,1993,4595
Kansas,1993,49625
Indiana,1993,2761
Illinois,1993,17406
Idaho,1993,
Florida,1993,5604
Colorado,1993,29398
California,1993,293090
Arkansas,1993,9975
Arizona,1993,73
Alaska,1993,577495
Alabama,1993,18677
Wyoming,1992,96810
West Virginia,1992,2068
Virginia,1992,12
Utah,1992,22720
Texas,1992,650623
Tennessee,1992,501
South Dakota,1992,1557
Pennsylvania,1992,2137
Oklahoma,1992,101807
Ohio,1992,9197
North Dakota,1992,32894
New York,1992,404
New Mexico,1992,69972
Nevada,1992,3721
Nebraska,1992,5474
Montana,1992,18482
Missouri,1992,143
Mississippi,1992,25182
Michigan,1992,15579
Louisiana,1992,143075
Kentucky,1992,5479
Kansas,1992,53613
Indiana,1992,3016
Illinois,1992,19303
Idaho,1992,
Florida,1992,5425
Colorado,1992,29787
California,1992,305488
Arkansas,1992,10260
Arizona,1992,94
Alaska,1992,627322
Alabama,1992,19025
Wyoming,1991,99928
West Virginia,1991,1963
Virginia,1991,13
Utah,1991,24467
Texas,1991,682616
Tennessee,1991,485
South Dakota,1991,1662
Pennsylvania,1991,2531
Oklahoma,1991,108094
Ohio,1991,9156
North Dakota,1991,35891
New York,1991,427
New Mexico,1991,70417
Nevada,1991,3413
Nebraska,1991,5832
Montana,1991,19579
Missouri,1991,149
Mississippi,1991,27055
Michigan,1991,17520
Louisiana,1991,147070
Kentucky,1991,5485
Kansas,1991,56928
Indiana,1991,3014
Illinois,1991,19068
Idaho,1991,
Florida,1991,4725
Colorado,1991,31382
California,1991,319497
Arkansas,1991,10305
Arizona,1991,111
Alaska,1991,656349
Alabama,1991,18637
Wyoming,1990,103856
West Virginia,1990,2143
Virginia,1990,16
Utah,1990,27604
Texas,1990,678478
Tennessee,1990,506
South Dakota,1990,1648
Pennsylvania,1990,2641
Oklahoma,1990,112273
Ohio,1990,10008
North Dakota,1990,36717
New York,1990,415
New Mexico,1990,67250
Nevada,1990,4011
Nebraska,1990,5889
Montana,1990,19810
Missouri,1990,146
Mississippi,1990,27034
Michigan,1990,19676
Louisiana,1990,147582
Kentucky,1990,5409
Kansas,1990,55428
Indiana,1990,3000
Illinois,1990,19954
Idaho,1990,
Florida,1990,5675
Colorado,1990,30453
California,1990,320868
Arkansas,1990,10386
Arizona,1990,121
Alaska,1990,647309
Alabama,1990,18538
Wyoming,1989,107715
West Virginia,1989,2243
Virginia,1989,23
Utah,1989,28415
Texas,1989,688169
Tennessee,1989,532
South Dakota,1989,1612
Pennsylvania,1989,2698
Oklahoma,1989,117493
Ohio,1989,10215
North Dakota,1989,36744
New York,1989,498
New Mexico,1989,68714
Nevada,1989,3216
Nebraska,1989,6230
Montana,1989,20956
Missouri,1989,133
Mississippi,1989,27403
Michigan,1989,21568
Louisiana,1989,153295
Kentucky,1989,5414
Kansas,1989,55485
Indiana,1989,3311
Illinois,1989,20378
Idaho,1989,
Florida,1989,7289
Colorado,1989,30655
California,1989,331174
Arkansas,1989,11261
Arizona,1989,137
Alaska,1989,683979
Alabama,1989,19813
Wyoming,1988,113985
West Virginia,1988,2621
Virginia,1988,25
Utah,1988,33018
Texas,1988,735495
Tennessee,1988,601
South Dakota,1988,1657
Pennsylvania,1988,2830
Oklahoma,1988,128874
Ohio,1988,11711
North Dakota,1988,39343
New York,1988,566
New Mexico,1988,71235
Nevada,1988,3230
Nebraska,1988,5978
Montana,1988,23338
Missouri,1988,156
Mississippi,1988,27553
Michigan,1988,23250
Louisiana,1988,165006
Kentucky,1988,5458
Kansas,1988,58824
Indiana,1988,3665
Illinois,1988,22476
Idaho,1988,
Florida,1988,7746
Colorado,1988,32352
California,1988,354730
Arkansas,1988,13606
Arizona,1988,113
Alaska,1988,738143
Alabama,1988,20797
Wyoming,1987,115267
West Virginia,1987,2835
Virginia,1987,17
Utah,1987,35788
Texas,1987,760962
Tennessee,1987,614
South Dakota,1987,1644
Pennsylvania,1987,3302
Oklahoma,1987,134378
Ohio,1987,12153
North Dakota,1987,41351
New York,1987,710
New Mexico,1987,72328
Nevada,1987,3112
Nebraska,1987,6091
Montana,1987,25059
Missouri,1987,110
Mississippi,1987,28103
Michigan,1987,25972
Louisiana,1987,175027
Kentucky,1987,5743
Kansas,1987,59884
Indiana,1987,3738
Illinois,1987,23980
Idaho,1987,
Florida,1987,8270
Colorado,1987,28802
California,1987,364608
Arkansas,1987,14230
Arizona,1987,131
Alaska,1987,715955
Alabama,1987,20607
Wyoming,1986,121337
West Virginia,1986,3145
Virginia,1986,18
Utah,1986,39172
Texas,1986,819595
Tennessee,1986,644
South Dakota,1986,1586
Pennsylvania,1986,3783
Oklahoma,1986,149105
Ohio,1986,13442
North Dakota,1986,45628
New York,1986,853
New Mexico,1986,75712
Nevada,1986,2907
Nebraska,1986,7098
Montana,1986,27072
Missouri,1986,110
Mississippi,1986,29997
Michigan,1986,25688
Louisiana,1986,181791
Kentucky,1986,6475
Kansas,1986,67034
Indiana,1986,4759
Illinois,1986,27245
Idaho,1986,
Florida,1986,9383
Colorado,1986,29309
California,1986,378059
Arkansas,1986,15778
Arizona,1986,161
Alaska,1986,681310
Alabama,1986,21122
Wyoming,1985,128514
West Virginia,1985,3555
Virginia,1985,26
Utah,1985,40792
Texas,1985,869218
Tennessee,1985,786
South Dakota,1985,1596
Pennsylvania,1985,4851
Oklahoma,1985,162739
Ohio,1985,14988
North Dakota,1985,50857
New York,1985,1071
New Mexico,1985,78530
Nevada,1985,3039
Nebraska,1985,6943
Montana,1985,29768
Missouri,1985,243
Mississippi,1985,30641
Michigan,1985,27300
Louisiana,1985,184409
Kentucky,1985,7790
Kansas,1985,75407
Indiana,1985,5168
Illinois,1985,30265
Idaho,1985,
Florida,1985,11458
Colorado,1985,30246
California,1985,394002
Arkansas,1985,19044
Arizona,1985,175
Alaska,1985,666233
Alabama,1985,21581
Wyoming,1984,124269
West Virginia,1984,3524
Virginia,1984,32
Utah,1984,34689
Texas,1984,883174
Tennessee,1984,920
South Dakota,1984,1340
Pennsylvania,1984,4284
Oklahoma,1984,168385
Ohio,1984,15271
North Dakota,1984,52652
New York,1984,840
New Mexico,1984,79336
Nevada,1984,1907
Nebraska,1984,6452
Montana,1984,29761
Missouri,1984,285
Mississippi,1984,32776
Michigan,1984,30554
Louisiana,1984,187011
Kentucky,1984,7777
Kansas,1984,75729
Indiana,1984,5526
Illinois,1984,28868
Idaho,1984,
Florida,1984,14462
Colorado,1984,28845
California,1984,381621
Arkansas,1984,18730
Arizona,1984,215
Alaska,1984,630401
Alabama,1984,19804
Wyoming,1983,118303
West Virginia,1983,3628
Virginia,1983,65
Utah,1983,29534
Texas,1983,882911
Tennessee,1983,1056
South Dakota,1983,1172
Pennsylvania,1983,4282
Oklahoma,1983,158604
Ohio,1983,14971
North Dakota,1983,50690
New York,1983,831
New Mexico,1983,75169
Nevada,1983,810
Nebraska,1983,6380
Montana,1983,29225
Missouri,1983,269
Mississippi,1983,31455
Michigan,1983,31736
Louisiana,1983,179617
